Female,20-30,yes,Only few times,Yes,4,1,6,3,5,7,2,Every time,Yes,Yes,"Sometimes, when the recommended products are relevant",Slightly useful,"Yes, always trust the recommendations","Same price range,Similar function,Same brand,Cross-selling,Most rated products in same category",,Yes,Senstive,Hydration,Hydration,Don't Care
Female,20-30,yes,Several times per month,Yes,1,2,6,5,4,7,3,Often,Yes,Yes,"Sometimes, when the recommended products are relevant",Moderately useful,Sometimes when the products are suitable,"Similar function,Same brand,Most rated products in same category",,Yes,Combination,Hydration,Whitening,Yes
Female,20-30,yes,Several times per year,Yes,2,1,6,4,7,5,3,Sometimes,Yes,Yes,Never,Slightly useless,"No, don care  trust the recommended products by the website",Most rated products in same category,,Yes,Normal,Anti-age,Anti-age,Don't Care
Male,20-30,yes,Only few times,Yes,3,6,1,5,1,3,5,Often,Yes,Yes,"Sometimes, when the recommended products are relevant",Moderately useful,Sometimes when the products are suitable,Most rated products in same category,,Yes,Oily,Anti-age,Anti-age,Yes
Female,20-30,yes,Several times per year,Yes,3,1,5,4,6,7,2,Every time,Yes,Yes,"Sometimes, when the recommended products are relevant",Slightly useful,Sometimes when the products are suitable,"Same price range,Similar function,Same brand,Most rated products in same category",,Yes,Normal,Hydration,Hydration,No
Female,20-30,yes,Several times per month,No,2,1,5,3,4,7,6,Often,Yes,Yes,"Sometimes, when the recommended products are relevant",Neither useful nor useless,"No, don care  trust the recommended products by the website",Similar function,,Yes,Oily,Anti-age,Anti-age,No
Female,20-30,yes,Several times per month,Yes,3,6,3,5,6,4,4,Often,Yes,Yes,"Sometimes, when the recommended products are relevant",Slightly useful,Sometimes when the products are suitable,"Similar function,Same brand,Cross-selling",,Yes,Oily,Hydration,Anti-age,Yes
Female,20-30,yes,Several times per year,Yes,1,2,7,4,5,6,3,Every time,Yes,Yes,Never,Slightly useless,Sometimes when the products are suitable,"Similar function,Most rated products in same category",,Yes,Combination,Remove dark circle,Whitening,Yes
Female,20-30,yes,Only few times,Yes,4,5,6,1,7,2,3,Often,Yes,Yes,"Yes, awalys",Moderately useful,Sometimes when the products are suitable,Cross-selling,,Yes,Oily,Remove dark circle,Whitening,Don't Care
Female,20-30,yes,Several times per month,Yes,5,1,7,3,4,6,2,Every time,Yes,Yes,"Yes, awalys",Slightly useful,Sometimes when the products are suitable,"Similar function,Most rated products in same category",,Yes,Normal,Remove dark circle,Whitening,Yes
Female,20-30,yes,Several times per year,Yes,4,1,6,3,5,7,2,Often,Yes,Yes,"Sometimes, when the recommended products are relevant",Slightly useful,Sometimes when the products are suitable,"Same price range,Similar function,Same brand,Cross-selling,Most rated products in same category",,Yes,Senstive,Anti-age,Anti-age,Yes
Female,20-30,yes,Several times per year,No,2,1,7,4,5,6,3,Sometimes,Yes,Yes,"Sometimes, when the recommended products are relevant",Neither useful nor useless,"No, don care  trust the recommended products by the website","Same price range,Similar function",,Yes,Normal,Hydration,Anti-age,Don't Care
Female,20-30,yes,Several times per year,No,5,2,4,2,4,3,5,Sometimes,Yes,Yes,"Sometimes, when the recommended products are relevant",Slightly useful,Sometimes when the products are suitable,"Similar function,Same brand",,Yes,Combination,Remove dark circle,Whitening,Don't Care
Female,20-30,yes,Several times per year,Yes,2,1,4,1,2,5,1,Every time,Yes,Yes,"Sometimes, when the recommended products are relevant",Moderately useful,Sometimes when the products are suitable,"Similar function,Most rated products in same category",,Yes,Senstive,Remove dark circle,Whitening,Don't Care
Female,20-30,yes,Several times per year,Yes,3,2,7,1,6,5,4,Every time,Yes,Yes,"Sometimes, when the recommended products are relevant",Slightly useful,Sometimes when the products are suitable,"Similar function,Same brand",,Yes,Combination,Anti-age,Anti-age,Don't Care
Male,20-30,yes,Only few times,No,3,1,4,2,5,6,7,Sometimes,Yes,Yes,Never,Extremely useless,"No, don care  trust the recommended products by the website",Similar function,,Yes,Oily,Hydration,Hydration,No
Female,20-30,yes,Several times per year,No,4,1,7,3,2,6,5,Every time,Yes,Yes,"Sometimes, when the recommended products are relevant",Neither useful nor useless,Sometimes when the products are suitable,"Same price range,Similar function",,Yes,Combination,Anti-age,Hydration,Yes
Female,20-30,yes,Several times per year,Yes,4,1,7,2,3,5,6,Sometimes,Yes,Yes,Never,Moderately useful,"Yes, always trust the recommendations","Similar function,Same brand",,Yes,Oily,Remove dark circle,Whitening,Yes
Male,20-30,No,Never,No,1,2,7,3,4,6,5,Every time,Yes,Yes,Never,Moderately useful,"Yes, always trust the recommendations",Similar function,,Yes,Normal,Anti-age,Hydration,No
Female,20-30,yes,Several times per year,Yes,2,1,6,3,5,7,4,Every time,Yes,Yes,"Sometimes, when the recommended products are relevant",Moderately useful,Sometimes when the products are suitable,"Same price range,Similar function,Same brand,Most rated products in same category",,Yes,Combination,Hydration,Hydration,Yes
